,mall_id,shop_id,wifis_mean_inten
10,m_1021,s_235089,"{'b_29211862': -62.0, 'b_37895607': -77.0, 'b_37895606': -74.0, 'b_6203491': -65.0, 'b_7028742': -65.0, 'b_40548365': -75.0, 'b_33407457': -50.0, 'b_6411454': -69.0, 'b_23480072': -78.0, 'b_584728': -79.0, 'b_20996295': -80.0, 'b_14192205': -76.0, 'b_52956248': -70.0, 'b_24186021': -79.0, 'b_33407329': -42.0, 'b_52864823': -73.0, 'b_31994076': -77.0, 'b_7028743': -54.0, 'b_42168406': -67.0, 'b_6203311': -76.0, 'b_7107035': -70.0, 'b_37901028': -74.0, 'b_20929300': -65.0, 'b_6203481': -54.0, 'b_6203480': -65.0, 'b_6411451': -70.0, 'b_6411450': -74.0, 'b_24488534': -77.0, 'b_7107034': -74.0, 'b_44083508': -78.0, 'b_49464303': -77.0, 'b_24539379': -70.0, 'b_879217': -76.0, 'b_51199854': -76.0, 'b_21307875': -71.0, 'b_6203475': -63.0, 'b_19025001': -74.0, 'b_20494195': -62.0, 'b_12928137': -68.0, 'b_7028759': -73.0, 'b_7028758': -70.0, 'b_7028753': -69.0, 'b_7028602': -73.0, 'b_49731971': -80.0, 'b_6203493': -65.0, 'b_6203496': -68.0, 'b_6203497': -73.0}"
11,m_1021,s_2406753,"{'b_42951057': -44.0, 'b_21661203': -76.0, 'b_21661202': -72.0, 'b_24509747': -77.0, 'b_46019290': -53.0, 'b_10696469': -45.0, 'b_10696470': -75.0, 'b_46314780': -75.0, 'b_23776104': -56.0, 'b_39370567': -81.0}"
12,m_1021,s_2902419,"{'b_20464503': -65.0, 'b_6411467': -78.0, 'b_23452853': -71.0, 'b_27970710': -34.0, 'b_27970711': -34.0, 'b_6411448': -57.0, 'b_6411449': -50.0, 'b_14117233': -70.0, 'b_7107032': -56.0, 'b_7107033': -52.0, 'b_6203426': -64.0, 'b_7028763': -56.0, 'b_5530026': -72.0, 'b_14599432': -61.0, 'b_20402787': -67.0, 'b_26348728': -77.0, 'b_7107049': -76.0, 'b_15413397': -79.0, 'b_6203501': -56.0}"
13,m_1021,s_2921720,"{'b_15413320': -75.0, 'b_6411444': -55.0, 'b_878888': -44.0, 'b_6411445': -50.0, 'b_878887': -41.0, 'b_33557640': -57.0, 'b_6064803': -31.0, 'b_56746513': -67.0, 'b_30525508': -41.0, 'b_6206240': -57.0, 'b_6991755': -31.0, 'b_7029636': -55.0, 'b_7029635': -56.0, 'b_22385082': -72.0, 'b_7107029': -50.0, 'b_7107028': -55.0, 'b_1087758': -72.0, 'b_44535279': -64.0, 'b_6206241': -55.0}"
14,m_1021,s_2987152,"{'b_20464503': -66.0, 'b_46345938': -64.0, 'b_7107047': -47.0, 'b_7028751': -59.0, 'b_53048862': -50.0, 'b_33558760': -75.0, 'b_22384837': -57.0, 'b_6203489': -59.0, 'b_57007899': -63.0, 'b_6411465': -47.0, 'b_15413397': -80.0, 'b_20402787': -61.0}"
15,m_1021,s_298739,"{'b_29211862': -42.0, 'b_12928137': -72.0, 'b_17651241': -67.0, 'b_34569238': -62.0, 'b_23413741': -69.0, 'b_42168406': -56.0, 'b_6206239': -56.0, 'b_38037778': -64.0, 'b_22384902': -55.0, 'b_7029634': -56.0, 'b_6787665': -69.0, 'b_20494195': -64.0, 'b_6203475': -52.0, 'b_20929300': -65.0, 'b_7028737': -51.0, 'b_49661514': -64.0}"
16,m_1021,s_3023891,"{'b_56881560': -74.0, 'b_7028696': -47.0, 'b_7028695': -53.0, 'b_7028753': -78.0, 'b_6203430': -47.0, 'b_1656713': -41.0, 'b_52956248': -78.0, 'b_6203491': -77.0, 'b_6203429': -54.0, 'b_13655855': -73.0, 'b_6203506': -75.0, 'b_6203507': -74.0, 'b_13655856': -73.0, 'b_10801136': -72.0, 'b_7028768': -77.0, 'b_7028769': -73.0}"
17,m_1021,s_3070193,"{'b_31781638': -75.0, 'b_30170692': -74.0, 'b_40315350': -76.0, 'b_33632805': -83.0, 'b_52388410': -35.0, 'b_55103590': -82.0, 'b_52751960': -73.0, 'b_33187730': -61.0}"
18,m_1021,s_3121923,"{'b_45137598': -60.0, 'b_39831782': -58.0, 'b_39831783': -66.0, 'b_47240096': -66.0, 'b_32625970': -66.0, 'b_42240673': -63.0, 'b_50001233': -69.0, 'b_40052303': -71.0, 'b_38313773': -56.0, 'b_38313772': -48.0, 'b_32625969': -55.0, 'b_37943569': -76.0}"
19,m_1021,s_321721,"{'b_44154141': -66.0, 'b_6411440': -77.0, 'b_53048862': -62.0, 'b_6411445': -77.0, 'b_22384837': -62.0, 'b_7028569': -71.0, 'b_6203501': -62.0, 'b_20464503': -61.0, 'b_7852745': -67.0, 'b_28043064': -64.0, 'b_6203400': -70.0, 'b_46345938': -67.0, 'b_6991755': -68.0, 'b_7028763': -62.0, 'b_6203489': -55.0, 'b_6203488': -55.0, 'b_879324': -73.0, 'b_6411514': -75.0, 'b_15413397': -67.0, 'b_6203495': -57.0, 'b_6415337': -49.0, 'b_7107094': -75.0, 'b_7107029': -76.0, 'b_6203516': -71.0, 'b_40470484': -78.0, 'b_40470485': -78.0, 'b_20402787': -40.0, 'b_7107047': -60.0, 'b_6411465': -59.0, 'b_7107049': -77.0, 'b_7028750': -56.0, 'b_7028757': -57.0, 'b_33558760': -77.0, 'b_7028673': -69.0, 'b_7028777': -70.0, 'b_6203494': -60.0, 'b_7107024': -77.0, 'b_57007899': -54.0, 'b_7028751': -55.0, 'b_6411467': -77.0}"
20,m_1021,s_3228278,"{'b_7028833': -56.0, 'b_45920537': -65.0, 'b_9677112': -71.0, 'b_7028755': -62.0, 'b_24519420': -67.0, 'b_6203578': -61.0, 'b_15115266': -76.0, 'b_6207712': -63.0, 'b_35881901': -73.0, 'b_34686179': -78.0, 'b_43823155': -75.0, 'b_7028741': -78.0, 'b_9676920': -73.0, 'b_29576775': -74.0, 'b_7107038': -79.0, 'b_7028832': -60.0, 'b_48635527': -55.0, 'b_6207713': -61.0, 'b_6411454': -80.0, 'b_55004901': -69.0, 'b_33559200': -69.0, 'b_6203479': -77.0, 'b_10122570': -71.0, 'b_48551020': -74.0, 'b_51819214': -68.0, 'b_33558768': -71.0, 'b_6203579': -56.0, 'b_7028754': -68.0, 'b_6203492': -68.0, 'b_6203493': -62.0, 'b_45920497': -75.0}"
21,m_1021,s_3230817,"{'b_55565947': -44.0, 'b_56522041': -74.0, 'b_40008112': -70.0, 'b_54676726': -81.0, 'b_30732295': -77.0, 'b_33229871': -78.0, 'b_48220660': -73.0}"
22,m_1021,s_3232050,"{'b_49127200': -83.0, 'b_5128296': -79.0, 'b_28140746': -74.0, 'b_50047926': -75.0, 'b_24759637': -65.0, 'b_27080617': -46.0, 'b_7980507': -83.0, 'b_55371977': -78.0, 'b_48435045': -79.0, 'b_40315350': -78.0, 'b_42243071': -81.0, 'b_5706769': -72.0, 'b_30170690': -50.0, 'b_39535258': -58.0, 'b_15349844': -80.0}"
23,m_1021,s_3365799,"{'b_43883456': -76.0, 'b_43883454': -62.0, 'b_38184522': -31.0, 'b_5706780': -30.0, 'b_52760823': -57.0, 'b_23452952': -79.0, 'b_2007567': -67.0, 'b_53577007': -71.0}"
24,m_1021,s_3408776,"{'b_6207720': -61.0, 'b_7028833': -64.0, 'b_24519420': -72.0, 'b_15115266': -41.0, 'b_20943141': -71.0, 'b_44212187': -64.0, 'b_29576775': -67.0, 'b_6787665': -61.0, 'b_7107038': -79.0, 'b_42964793': -82.0, 'b_18169670': -76.0, 'b_6411454': -79.0, 'b_7030068': -60.0, 'b_7030106': -59.0, 'b_7030105': -57.0, 'b_6207759': -56.0, 'b_14232921': -70.0, 'b_37842236': -60.0, 'b_51819214': -70.0, 'b_33558768': -78.0, 'b_20370976': -69.0, 'b_6203579': -64.0, 'b_6203578': -68.0, 'b_890302': -60.0, 'b_890301': -56.0, 'b_6207760': -58.0}"
25,m_1021,s_3423909,"{'b_40218435': -29.0, 'b_5706549': -61.0, 'b_55567270': -60.0, 'b_40218436': -30.0, 'b_55567431': -45.0, 'b_9444188': -68.0, 'b_38056367': -78.0, 'b_20917858': -66.0, 'b_32625970': -77.0, 'b_57155851': -60.0, 'b_45137598': -73.0, 'b_35718937': -69.0, 'b_47824234': -53.0, 'b_38313773': -70.0, 'b_37943568': -43.0, 'b_37943569': -47.0, 'b_39831782': -58.0, 'b_39831783': -69.0, 'b_5706472': -67.0, 'b_38185297': -70.0, 'b_38185296': -61.0, 'b_38056366': -67.0, 'b_38313772': -60.0, 'b_32625969': -68.0, 'b_55213772': -66.0, 'b_5706707': -62.0, 'b_49464441': -49.0, 'b_15238522': -81.0}"
26,m_1021,s_3472761,"{'b_55565967': -71.0, 'b_5706510': -35.0, 'b_12596448': -66.0, 'b_54818675': -66.0, 'b_16957428': -72.0, 'b_14923387': -46.0, 'b_14923386': -36.0, 'b_40848391': -84.0, 'b_40848390': -76.0}"
27,m_1021,s_3485884,"{'b_48204092': -73.0, 'b_14083509': -61.0, 'b_14236076': -31.0, 'b_19795792': -78.0, 'b_6613618': -74.0}"
28,m_1021,s_3491500,"{'b_41312628': -77.0, 'b_50392541': -78.0, 'b_30567099': -65.0, 'b_55565954': -73.0, 'b_49742032': -81.0, 'b_56716508': -64.0, 'b_24376093': -72.0, 'b_30567100': -81.0, 'b_26348745': -84.0, 'b_52828645': -63.0}"
29,m_1021,s_350865,"{'b_7028832': -57.0, 'b_7028833': -48.0, 'b_51819214': -61.0, 'b_33558768': -63.0, 'b_44212187': -70.0, 'b_7030106': -71.0, 'b_6203579': -49.0, 'b_6203578': -57.0, 'b_29576775': -28.0, 'b_24519420': -64.0, 'b_20370976': -41.0, 'b_14232921': -75.0, 'b_37842236': -72.0, 'b_6787665': -76.0, 'b_15115266': -68.0}"
30,m_1021,s_3537031,"{'b_40350864': -68.0, 'b_45128089': -73.0, 'b_22406136': -64.0, 'b_36897923': -70.0, 'b_30592018': -59.0}"
31,m_1021,s_3606217,"{'b_7030059': -54.0, 'b_6203288': -60.0, 'b_7030058': -55.0, 'b_17651564': -74.0, 'b_6203287': -64.0, 'b_37080536': -80.0, 'b_21606011': -69.0, 'b_6207711': -54.0, 'b_6400043': -76.0, 'b_7028588': -59.0, 'b_19487716': -58.0, 'b_18067897': -75.0, 'b_6203219': -71.0, 'b_6206251': -69.0, 'b_7028587': -63.0, 'b_7029640': -49.0, 'b_7029641': -53.0, 'b_15144137': -59.0, 'b_6411471': -76.0, 'b_6207710': -55.0, 'b_5864497': -75.0, 'b_6400045': -76.0, 'b_40257072': -72.0, 'b_7028552': -61.0, 'b_1178680': -74.0, 'b_6203220': -67.0, 'b_6206246': -55.0, 'b_50157011': -75.0, 'b_15143629': -53.0, 'b_6206245': -48.0, 'b_5864499': -77.0}"
32,m_1021,s_3622723,"{'b_7107040': -72.0, 'b_6411457': -72.0, 'b_17614951': -45.0, 'b_6411456': -72.0, 'b_17615030': -66.0, 'b_8267680': -73.0, 'b_17615004': -50.0, 'b_10122589': -78.0, 'b_17613850': -79.0, 'b_17614966': -56.0, 'b_7107039': -71.0, 'b_17613855': -75.0}"
33,m_1021,s_3734889,"{'b_51871127': -24.0, 'b_6207724': -62.0, 'b_51871128': -30.0, 'b_880316': -28.0, 'b_49169704': -31.0, 'b_880317': -32.0, 'b_20438078': -47.0, 'b_19725923': -62.0, 'b_49169705': -34.0, 'b_4183975': -46.0}"
34,m_1021,s_3757457,"{'b_21702082': -72.0, 'b_21702326': -76.0, 'b_7030046': -43.0, 'b_7030045': -45.0, 'b_1020180': -40.0, 'b_6207698': -41.0, 'b_1020179': -40.0, 'b_1020178': -43.0, 'b_19261636': -69.0, 'b_1020175': -43.0, 'b_1020177': -43.0, 'b_1020176': -46.0, 'b_6207697': -44.0, 'b_42964793': -77.0}"
35,m_1021,s_3816514,"{'b_13848626': -68.0, 'b_49466117': -72.0, 'b_17651721': -77.0, 'b_47243175': -70.0, 'b_17613869': -64.0, 'b_17614951': -75.0, 'b_34686179': -72.0, 'b_9676920': -66.0, 'b_8267681': -76.0, 'b_8267680': -71.0, 'b_6203493': -60.0, 'b_7028722': -64.0, 'b_7028721': -66.0, 'b_9283150': -74.0, 'b_7107039': -67.0, 'b_55004901': -75.0, 'b_6411457': -63.0, 'b_6411456': -62.0, 'b_33559200': -80.0, 'b_14100628': -74.0, 'b_9677112': -66.0, 'b_10122570': -68.0, 'b_6203458': -65.0, 'b_6203459': -64.0, 'b_7107040': -64.0, 'b_17613871': -48.0, 'b_30876181': -69.0, 'b_7028755': -60.0, 'b_17613855': -52.0, 'b_17613852': -71.0, 'b_17613850': -55.0, 'b_45920497': -66.0}"
36,m_1021,s_382315,"{'b_6411507': -71.0, 'b_7107087': -71.0, 'b_48987395': -59.0, 'b_6618626': -73.0, 'b_7107080': -67.0, 'b_48853504': -65.0, 'b_6203467': -62.0, 'b_6203466': -58.0, 'b_36656666': -42.0, 'b_6206294': -63.0, 'b_7029668': -63.0, 'b_7028729': -56.0, 'b_33558678': -65.0, 'b_7029667': -64.0, 'b_48987394': -60.0, 'b_7028571': -54.0, 'b_7028570': -57.0, 'b_6206293': -64.0, 'b_6411498': -68.0, 'b_7504015': -74.0, 'b_6203269': -55.0, 'b_6203268': -57.0, 'b_43850990': -77.0, 'b_7028730': -60.0}"
37,m_1021,s_394841,"{'b_29287977': -72.0, 'b_7028820': -65.0, 'b_7030038': -74.0, 'b_23452602': -80.0, 'b_22384851': -45.0, 'b_7107049': -72.0, 'b_6206223': -74.0, 'b_6207689': -74.0, 'b_7029625': -70.0, 'b_38039510': -49.0, 'b_33559679': -67.0, 'b_6206222': -69.0, 'b_6203563': -66.0, 'b_38039509': -44.0, 'b_6411467': -74.0}"
38,m_1021,s_3963418,"{'b_44154141': -44.0, 'b_6415337': -45.0, 'b_6203267': -58.0, 'b_28043064': -62.0, 'b_20464503': -64.0, 'b_7028751': -40.0, 'b_7028750': -46.0, 'b_36897923': -68.0, 'b_6203488': -45.0, 'b_6203489': -41.0, 'b_38109171': -66.0, 'b_57007899': -67.0, 'b_7028569': -58.0, 'b_15413397': -74.0, 'b_20402787': -67.0}"
39,m_1021,s_396464,"{'b_40218435': -69.0, 'b_5706549': -67.0, 'b_55567270': -55.0, 'b_40218436': -77.0, 'b_38313772': -63.0, 'b_43861805': -64.0, 'b_15703976': -70.0, 'b_32625970': -68.0, 'b_57155851': -63.0, 'b_45137598': -33.0, 'b_40052303': -76.0, 'b_40052302': -68.0, 'b_37943568': -65.0, 'b_37943569': -74.0, 'b_47824234': -59.0, 'b_39831782': -54.0, 'b_39831783': -60.0, 'b_42240673': -62.0, 'b_38185297': -73.0, 'b_38185296': -67.0, 'b_38313773': -75.0, 'b_38056367': -77.0, 'b_32625969': -57.0, 'b_55213772': -66.0, 'b_5706707': -64.0, 'b_49464441': -69.0, 'b_7028618': -63.0, 'b_49133486': -79.0, 'b_6203328': -67.0}"
40,m_1021,s_3981477,"{'b_7028833': -44.0, 'b_51819214': -42.0, 'b_33558768': -62.0, 'b_20370976': -67.0, 'b_29576775': -59.0, 'b_24519420': -50.0, 'b_15115266': -69.0}"
41,m_1021,s_3990690,"{'b_23452649': -69.0, 'b_21568170': -52.0, 'b_33559603': -71.0, 'b_23452164': -75.0, 'b_33558826': -71.0, 'b_23452624': -71.0, 'b_46279960': -71.0, 'b_23452888': -73.0, 'b_23452450': -68.0}"
42,m_1021,s_3991152,"{'b_23452649': -77.0, 'b_21568170': -71.0, 'b_33559603': -76.0, 'b_23452164': -79.0, 'b_33558826': -77.0, 'b_6228523': -52.0, 'b_46279960': -76.0, 'b_23452888': -66.0, 'b_23452450': -64.0}"
43,m_1021,s_3991558,"{'b_7028823': -65.0, 'b_6203569': -67.0, 'b_15412138': -74.0, 'b_8267680': -77.0, 'b_49466117': -73.0, 'b_46279960': -71.0, 'b_6207691': -74.0, 'b_23453065': -62.0}"
44,m_1021,s_4008552,"{'b_21568170': -68.0, 'b_33559603': -79.0, 'b_33558826': -78.0, 'b_23452624': -79.0, 'b_46279960': -73.0, 'b_23452888': -64.0}"
45,m_1021,s_420522,"{'b_51967695': -72.0, 'b_4555137': -70.0, 'b_14102344': -44.0, 'b_15180508': -74.0}"
46,m_1021,s_428773,"{'b_6203288': -50.0, 'b_6411471': -65.0, 'b_6411520': -80.0, 'b_7107053': -65.0, 'b_33558859': -75.0, 'b_7028588': -49.0, 'b_6203447': -80.0, 'b_6203219': -83.0, 'b_7028710': -80.0}"
47,m_1021,s_44235,"{'b_42232752': -42.0, 'b_15413320': -78.0, 'b_7030115': -59.0, 'b_6207769': -57.0, 'b_6064803': -62.0, 'b_56746513': -61.0, 'b_22385540': -38.0, 'b_22385082': -63.0, 'b_15413346': -71.0, 'b_6207770': -50.0, 'b_44535279': -62.0, 'b_6191073': -44.0}"
48,m_1021,s_44259,"{'b_6203267': -54.0, 'b_7028569': -54.0, 'b_6411471': -49.0}"
49,m_1021,s_44919,"{'b_29211862': -65.0, 'b_6207720': -65.0, 'b_20943141': -75.0, 'b_6411454': -74.0, 'b_7030068': -65.0, 'b_34569238': -56.0, 'b_38037778': -53.0, 'b_6206239': -70.0, 'b_7028736': -47.0, 'b_42168406': -28.0, 'b_22384902': -26.0, 'b_7029634': -71.0, 'b_6787665': -65.0, 'b_6203474': -48.0, 'b_6203475': -43.0, 'b_7107038': -74.0, 'b_7028737': -43.0, 'b_20494195': -70.0}"
50,m_1021,s_452569,"{'b_21702082': -78.0, 'b_7030077': -73.0, 'b_21702059': -66.0, 'b_6207729': -75.0, 'b_7030045': -72.0, 'b_21702326': -75.0, 'b_1020178': -74.0, 'b_19261636': -28.0, 'b_1020175': -64.0, 'b_1020177': -65.0, 'b_1020176': -64.0, 'b_6207697': -73.0}"
51,m_1021,s_496570,"{'b_31079551': -54.0, 'b_31584571': -59.0, 'b_31079552': -58.0, 'b_31584574': -62.0, 'b_31584577': -60.0, 'b_44535279': -61.0, 'b_31079638': -59.0, 'b_6140280': -55.0, 'b_31079584': -55.0, 'b_31079585': -61.0, 'b_6140276': -53.0, 'b_48140978': -68.0, 'b_6140273': -55.0, 'b_40149672': -68.0, 'b_31079637': -54.0}"
52,m_1021,s_53835,"{'b_20943141': -40.0, 'b_6411454': -66.0, 'b_38037778': -65.0, 'b_29576775': -71.0, 'b_14232921': -59.0, 'b_6787665': -58.0, 'b_7107038': -64.0, 'b_15115266': -62.0}"
53,m_1021,s_547665,"{'b_54805385': -69.0, 'b_1934502': -66.0, 'b_6203455': -58.0, 'b_23452890': -56.0, 'b_29318301': -51.0, 'b_21610307': -73.0}"
54,m_1021,s_556486,"{'b_11734511': -37.0, 'b_11734512': -42.0, 'b_39875247': -79.0, 'b_39875246': -71.0, 'b_35896754': -48.0, 'b_35896755': -43.0, 'b_35896756': -42.0, 'b_35896757': -43.0, 'b_35896758': -43.0, 'b_4854388': -37.0}"
55,m_1021,s_57565,"{'b_54805385': -39.0, 'b_54805386': -48.0, 'b_6415827': -64.0, 'b_1934502': -68.0, 'b_29318301': -70.0, 'b_6203388': -62.0, 'b_6064803': -67.0, 'b_15413410': -72.0, 'b_6203454': -62.0, 'b_6203455': -57.0, 'b_23452890': -77.0, 'b_7107022': -65.0, 'b_6991755': -69.0, 'b_7028665': -62.0, 'b_41312855': -80.0, 'b_7028718': -57.0, 'b_7028717': -63.0, 'b_6411438': -66.0, 'b_44535279': -71.0, 'b_21610307': -50.0}"
56,m_1021,s_59973,"{'b_7852745': -58.0, 'b_34376381': -58.0, 'b_34376379': -46.0, 'b_52130935': -47.0, 'b_25289669': -53.0, 'b_34376378': -47.0, 'b_26434068': -77.0, 'b_8761639': -78.0, 'b_8761640': -78.0, 'b_37435721': -74.0}"
57,m_1021,s_629930,"{'b_44154141': -70.0, 'b_6411440': -77.0, 'b_46345938': -64.0, 'b_22384837': -59.0, 'b_7028569': -69.0, 'b_6203501': -67.0, 'b_20464503': -59.0, 'b_28043064': -62.0, 'b_6203400': -68.0, 'b_53048862': -63.0, 'b_6991755': -70.0, 'b_7028763': -66.0, 'b_6203489': -53.0, 'b_6203488': -58.0, 'b_6411514': -75.0, 'b_15413397': -70.0, 'b_6203495': -61.0, 'b_7107094': -73.0, 'b_6203267': -68.0, 'b_6203516': -61.0, 'b_20402787': -56.0, 'b_7107047': -52.0, 'b_7107049': -74.0, 'b_7028750': -58.0, 'b_7028757': -63.0, 'b_6064803': -70.0, 'b_33558760': -75.0, 'b_6411465': -52.0, 'b_7028777': -59.0, 'b_7107024': -77.0, 'b_57007899': -42.0, 'b_879323': -68.0, 'b_6411464': -64.0, 'b_7028751': -53.0, 'b_6411467': -75.0}"
58,m_1021,s_638541,"{'b_6207720': -63.0, 'b_6416082': -48.0, 'b_38037778': -38.0, 'b_15115266': -73.0, 'b_20943141': -72.0, 'b_44212187': -73.0, 'b_42168406': -51.0, 'b_29576775': -74.0, 'b_6787665': -59.0, 'b_37842236': -74.0, 'b_5154053': -51.0, 'b_22384902': -51.0, 'b_29211862': -70.0, 'b_6411454': -71.0, 'b_7030067': -63.0, 'b_7030068': -62.0, 'b_6207719': -62.0, 'b_6206239': -76.0, 'b_14232921': -72.0, 'b_6203474': -48.0, 'b_6203475': -44.0, 'b_7107038': -70.0, 'b_20494195': -72.0, 'b_34569238': -61.0, 'b_7028755': -72.0, 'b_7028737': -44.0, 'b_7028736': -48.0}"
59,m_1021,s_697497,"{'b_29287977': -64.0, 'b_20589776': -74.0, 'b_38350227': -36.0, 'b_6411469': -65.0, 'b_7107051': -63.0, 'b_6411468': -63.0, 'b_6207688': -60.0, 'b_5530036': -43.0, 'b_23452179': -67.0, 'b_52848838': -42.0, 'b_7030037': -60.0, 'b_7030036': -61.0, 'b_6207687': -62.0, 'b_23452602': -79.0}"
60,m_1021,s_720551,"{'b_34651123': -82.0, 'b_45565946': -84.0, 'b_32286740': -30.0, 'b_14760473': -77.0, 'b_7826682': -71.0, 'b_39370568': -78.0, 'b_50565598': -73.0, 'b_25464557': -54.0, 'b_40315350': -81.0, 'b_42122655': -40.0, 'b_55566647': -45.0, 'b_39535258': -78.0, 'b_39370567': -80.0}"
61,m_1021,s_722185,"{'b_27970711': -68.0, 'b_20464503': -64.0, 'b_23452853': -54.0, 'b_27970710': -67.0, 'b_26348728': -78.0, 'b_6411449': -58.0, 'b_14117233': -42.0, 'b_7107033': -57.0, 'b_6207677': -47.0, 'b_7030028': -46.0, 'b_7028763': -60.0, 'b_5530026': -47.0, 'b_7030027': -46.0, 'b_6207678': -46.0, 'b_15413397': -77.0, 'b_6203501': -60.0}"
62,m_1021,s_779910,"{'b_7029676': -43.0, 'b_6203499': -50.0, 'b_15413320': -69.0, 'b_7028761': -51.0, 'b_6064803': -55.0, 'b_7026903': -51.0, 'b_56746513': -40.0, 'b_30525508': -68.0, 'b_22385540': -59.0, 'b_22385082': -43.0, 'b_6991755': -55.0, 'b_6206513': -43.0, 'b_44535279': -60.0, 'b_6191073': -49.0}"
