mall_id,shop_id,wifi_infos
m_1089,s_500565,74
m_1089,s_505067,122
m_1089,s_507489,1
m_1089,s_50873,37
m_1089,s_515307,56
m_1089,s_516449,43
m_1089,s_587282,114
m_1089,s_5896,1
m_1089,s_595198,2
m_1089,s_617747,1
m_1089,s_660788,58
m_1089,s_698270,9
m_1089,s_70487,578
m_1089,s_713002,89
m_1089,s_716754,11
m_1089,s_732474,34
m_1089,s_759937,35
m_1089,s_792085,30
m_1089,s_80090,135
m_1089,s_806898,50
m_1089,s_807762,2
m_1089,s_808308,1
m_1089,s_82154,5
m_1089,s_83336,1
m_1089,s_839815,9
m_1089,s_84051,2
m_1089,s_8543,291
m_1089,s_87141,3
m_1089,s_875934,49
m_1089,s_904641,5
m_1089,s_93370,32
m_1089,s_94259,78
m_1175,s_1112656,335
m_1175,s_118705,80
m_1175,s_1198312,1310
m_1175,s_1347278,2
m_1175,s_135724,42
m_1175,s_1364182,245
m_1175,s_136935,95
m_1175,s_1447952,18
m_1175,s_146906,561
m_1175,s_159598,85
m_1175,s_165070,246
m_1175,s_166522,2240
m_1175,s_1751222,365
m_1175,s_1874982,201
m_1175,s_1898908,90
m_1175,s_1969087,108
m_1175,s_2011969,80
m_1175,s_201770,6
m_1175,s_2075920,61
m_1175,s_2273430,9
m_1175,s_2425,116
m_1175,s_2558448,201
m_1175,s_2651399,2
m_1175,s_2703639,549
m_1175,s_2745266,99
m_1175,s_2836741,4
m_1175,s_2856239,16
m_1175,s_2872665,17
m_1175,s_2909380,104
m_1175,s_3022733,15
m_1175,s_3039290,7
m_1175,s_3074861,171
m_1175,s_3315343,62
m_1175,s_3360000,273
m_1175,s_346914,254
m_1175,s_3474,177
m_1175,s_3478400,509
m_1175,s_3513660,79
m_1175,s_3533238,78
m_1175,s_3545311,18
m_1175,s_3554531,1
m_1175,s_3574027,3
m_1175,s_357507,134
m_1175,s_3575936,2
m_1175,s_3631743,57
m_1175,s_3656659,2
m_1175,s_3669025,280
m_1175,s_3682772,31
m_1175,s_3693641,142
m_1175,s_3695209,75
m_1175,s_3707203,44
m_1175,s_37078,99
m_1175,s_3710069,62
m_1175,s_3715450,19
m_1175,s_3720081,4
m_1175,s_3721256,70
m_1175,s_3743698,162
m_1175,s_3745834,295
m_1175,s_3751919,10
m_1175,s_3760930,7
m_1175,s_3778792,7
m_1175,s_3813757,19
m_1175,s_3815250,7
m_1175,s_3816571,50
m_1175,s_3835227,410
m_1175,s_3842135,51
m_1175,s_3855343,268
m_1175,s_3864528,9
m_1175,s_3865173,59
m_1175,s_3894711,231
m_1175,s_3895055,1
m_1175,s_3895726,1
m_1175,s_3896277,3
m_1175,s_3903347,66
m_1175,s_3909220,29
m_1175,s_3911805,43
m_1175,s_3915605,86
m_1175,s_3916557,112
m_1175,s_3961982,143
m_1175,s_396753,275
m_1175,s_3984068,62
m_1175,s_4000936,153
m_1175,s_401697,168
m_1175,s_4027585,8
m_1175,s_4036036,183
m_1175,s_4058621,7
m_1175,s_412569,110
m_1175,s_417305,52
m_1175,s_423519,111
m_1175,s_42867,1090
m_1175,s_449683,149
m_1175,s_460331,443
m_1175,s_479405,4552
m_1175,s_484707,187
m_1175,s_485264,159
m_1175,s_4943,101
m_1175,s_496,561
m_1175,s_525323,123
m_1175,s_52803,388
m_1175,s_531846,1280
m_1175,s_532491,1010
m_1175,s_544126,18
m_1175,s_552605,141
m_1175,s_568147,131
m_1175,s_573262,131
m_1175,s_576377,283
m_1175,s_587080,119
m_1175,s_589131,78
m_1175,s_596297,115
m_1175,s_603718,51
m_1175,s_650755,178
m_1175,s_656706,126
m_1175,s_669957,177
m_1175,s_672298,94
m_1175,s_676313,95
m_1175,s_677502,617
m_1175,s_684487,42
m_1175,s_684652,108
m_1175,s_701508,65
m_1175,s_7301,1346
m_1175,s_735880,342
m_1175,s_786530,552
m_1175,s_809240,1635
m_1175,s_955546,117
m_1175,s_990477,137
m_1263,s_1140918,220
m_1263,s_1186383,1
m_1263,s_129535,41
m_1263,s_1348876,384
m_1263,s_1371688,157
m_1263,s_144803,112
m_1263,s_152966,348
m_1263,s_160952,938
m_1263,s_1916042,3
m_1263,s_221292,422
m_1263,s_2608437,15
m_1263,s_2654182,126
m_1263,s_2775157,159
m_1263,s_2887645,528
m_1263,s_2897526,79
m_1263,s_3031308,1
m_1263,s_3151568,1
m_1263,s_337896,56
m_1263,s_3402871,1
m_1263,s_3409612,1
m_1263,s_3441993,1
m_1263,s_3469731,43
m_1263,s_3506213,39
m_1263,s_3526546,90
m_1263,s_3556230,115
m_1263,s_3558111,115
m_1263,s_3560470,50
m_1263,s_3562230,104
m_1263,s_3563489,17
m_1263,s_3582651,140
m_1263,s_3594372,9
m_1263,s_3595150,1
m_1263,s_3598974,55
m_1263,s_3599288,1
m_1263,s_3608057,20
m_1263,s_3613866,48
m_1263,s_3621928,53
m_1263,s_3622164,26
m_1263,s_3622688,9
m_1263,s_3631473,73
m_1263,s_3651947,106
m_1263,s_3656675,104
m_1263,s_3669739,10
m_1263,s_3673615,9
m_1263,s_3684846,240
m_1263,s_3716953,9
m_1263,s_3746178,11
m_1263,s_3778403,702
m_1263,s_3797434,183
m_1263,s_3808717,78
m_1263,s_3821857,17
m_1263,s_3837558,6
m_1263,s_3850197,59
m_1263,s_3888612,29
m_1263,s_389470,281
m_1263,s_3923310,171
m_1263,s_3955140,27
m_1263,s_3963354,46
m_1263,s_3985594,98
m_1263,s_3994297,15
m_1263,s_430855,35
m_1263,s_452925,116
m_1263,s_454698,94
m_1263,s_46498,119
m_1263,s_479553,30
m_1263,s_483158,24
m_1263,s_483807,81
m_1263,s_484021,54
m_1263,s_4853,17
m_1263,s_486837,55
m_1263,s_490331,45
m_1263,s_493158,1
m_1263,s_495830,102
m_1263,s_495872,1
m_1263,s_495908,76
m_1263,s_496320,110
m_1263,s_496350,122
m_1263,s_496351,189
m_1263,s_496420,72
m_1263,s_496500,45
m_1263,s_496803,22
m_1263,s_497238,4
m_1263,s_498699,72
m_1263,s_501517,166
m_1263,s_502131,132
m_1263,s_503065,24
m_1263,s_504218,14
m_1263,s_504278,23
m_1263,s_515417,96
m_1263,s_538135,172
m_1263,s_569106,163
m_1263,s_577360,21
m_1263,s_621310,26
m_1263,s_757903,49
m_1263,s_845919,128
m_1293,s_1005034,251
m_1293,s_1126,108
m_1293,s_1144,17
m_1293,s_1214829,58
m_1293,s_12738,99
m_1293,s_1275465,78
m_1293,s_1356857,4
m_1293,s_1423736,46
m_1293,s_145311,26
m_1293,s_1458981,109
m_1293,s_1670186,1486
m_1293,s_168091,399
m_1293,s_1701386,1
m_1293,s_173206,139
m_1293,s_1774143,145
m_1293,s_202202,220
m_1293,s_2027131,138
m_1293,s_2193582,348
m_1293,s_2404,177
m_1293,s_252207,370
m_1293,s_276357,3
m_1293,s_277637,14
m_1293,s_2785528,125
m_1293,s_2916543,465
m_1293,s_2925155,26
m_1293,s_292735,86
m_1293,s_2971619,99
m_1293,s_297192,149
m_1293,s_298488,724
m_1293,s_3295867,2
m_1293,s_3348007,130
m_1293,s_3403034,214
m_1293,s_3406286,29
m_1293,s_3407316,229
m_1293,s_3466708,168
m_1293,s_3546695,34
m_1293,s_3628861,81
m_1293,s_3723616,80
m_1293,s_3740508,306
m_1293,s_3749169,91
m_1293,s_3798387,30
m_1293,s_3821177,110
m_1293,s_3823330,37
m_1293,s_3864827,54
m_1293,s_388486,280
m_1293,s_388487,580
m_1293,s_388569,338
m_1293,s_388609,661
m_1293,s_388626,175
m_1293,s_388651,260
m_1293,s_388724,65
m_1293,s_388736,230
m_1293,s_388753,527
m_1293,s_388754,59
m_1293,s_388893,118
m_1293,s_388904,442
m_1293,s_388905,205
m_1293,s_388939,220
m_1293,s_389264,92
m_1293,s_389350,448
m_1293,s_389387,393
m_1293,s_389402,234
m_1293,s_389403,244
m_1293,s_389547,17
m_1293,s_3950371,1
m_1293,s_3953872,125
m_1293,s_396564,127
m_1293,s_3992936,173
m_1293,s_409119,68
m_1293,s_414640,137
m_1293,s_415999,310
m_1293,s_416125,77
m_1293,s_422910,187
m_1293,s_423110,55
m_1293,s_461089,145
m_1293,s_461479,107
m_1293,s_465078,37
m_1293,s_469,104
m_1293,s_47545,586
m_1293,s_48293,525
m_1293,s_496144,148
m_1293,s_502562,213
m_1293,s_505955,144
m_1293,s_520700,633
m_1293,s_529219,1206
m_1293,s_536738,229
m_1293,s_53811,149
m_1293,s_587965,125
m_1293,s_59418,39
m_1293,s_60197,103
m_1293,s_623778,138
m_1293,s_643201,169
m_1293,s_65376,186
m_1293,s_657218,198
m_1293,s_679476,178
m_1293,s_701512,11
m_1293,s_70790,135
m_1293,s_70986,168
m_1293,s_720932,126
m_1293,s_7466,364
m_1293,s_75375,79
m_1293,s_757418,477
m_1293,s_761178,313
m_1293,s_774697,27
m_1293,s_819780,446
m_1293,s_848684,47
m_1293,s_97281,172
m_1293,s_97701,200
m_1375,s_108176,126
m_1375,s_13202,351
m_1375,s_1418362,889
m_1375,s_1434743,17
m_1375,s_1675974,24
m_1375,s_176656,201
m_1375,s_1871761,85
m_1375,s_1966995,46
m_1375,s_2085990,26
m_1375,s_2135574,42
m_1375,s_2140651,114
m_1375,s_2329616,329
m_1375,s_2685551,369
m_1375,s_279514,1
m_1375,s_2959717,107
m_1375,s_302457,88
m_1375,s_3028745,219
m_1375,s_3059627,14
m_1375,s_3079291,18
m_1375,s_3278888,2
m_1375,s_330372,304
m_1375,s_3418809,415
m_1375,s_351076,82
m_1375,s_3517889,129
m_1375,s_3586344,181
m_1375,s_3633,88
m_1375,s_3688510,13
m_1375,s_3691790,105
m_1375,s_3733284,7
m_1375,s_3740759,118
m_1375,s_376770,332
m_1375,s_3788495,791
m_1375,s_382098,86
m_1375,s_3892577,54
m_1375,s_3910560,575
m_1375,s_391446,4
m_1375,s_394403,417
m_1375,s_3974389,4
m_1375,s_399156,712
m_1375,s_4003234,1
m_1375,s_4004581,3
m_1375,s_411717,4
m_1375,s_420549,371
m_1375,s_445649,1
m_1375,s_459711,152
m_1375,s_464215,124
m_1375,s_488330,14
m_1375,s_488929,237
m_1375,s_50815,63
m_1375,s_521747,175
m_1375,s_54272,393
m_1375,s_54307,357
m_1375,s_544910,368
m_1375,s_552064,247
m_1375,s_57178,216
m_1375,s_573413,169
m_1375,s_60878,227
m_1375,s_62687,61
m_1375,s_634867,1
m_1375,s_65714,195
m_1375,s_66450,418
m_1375,s_677474,4
m_1375,s_684571,36
m_1375,s_703746,4
m_1375,s_733939,36
m_1375,s_770662,21
m_1375,s_841533,33
m_1375,s_90003,30
m_1375,s_96686,412
m_1377,s_1015488,199
m_1377,s_1234946,37
m_1377,s_12565,893
m_1377,s_135336,50
m_1377,s_1488204,248
m_1377,s_15439,197
m_1377,s_156609,317
m_1377,s_173095,100
m_1377,s_1763641,195
m_1377,s_185088,151
m_1377,s_1904427,198
m_1377,s_209068,1556
m_1377,s_209285,334
m_1377,s_209321,40
m_1377,s_209568,1431
m_1377,s_209569,878
m_1377,s_2098097,219
m_1377,s_209930,433
m_1377,s_210260,217
m_1377,s_210852,466
m_1377,s_211134,377
m_1377,s_211290,421
m_1377,s_211438,586
m_1377,s_211703,654
m_1377,s_211742,350
m_1377,s_211743,713
m_1377,s_212115,346
m_1377,s_212126,742
m_1377,s_213431,55
m_1377,s_236356,124
m_1377,s_259939,265
m_1377,s_2668861,56
m_1377,s_273473,104
m_1377,s_2744237,164
m_1377,s_278752,383
m_1377,s_2900031,68
m_1377,s_3060024,468
m_1377,s_3100504,461
m_1377,s_3153449,98
m_1377,s_3263055,246
m_1377,s_3493779,437
m_1377,s_3495150,280
m_1377,s_3551444,444
m_1377,s_3569064,129
m_1377,s_3809762,8
m_1377,s_3857624,30
m_1377,s_386209,250
m_1377,s_3904421,37
m_1377,s_3943562,202
m_1377,s_398482,258
m_1377,s_3990728,253
m_1377,s_399125,255
m_1377,s_4027292,51
m_1377,s_403003,481
m_1377,s_404232,101
m_1377,s_404516,3
m_1377,s_404919,228
m_1377,s_4055325,12
m_1377,s_413580,245
m_1377,s_434942,456
m_1377,s_4394,104
m_1377,s_452164,1027
m_1377,s_45373,283
m_1377,s_462078,716
m_1377,s_462322,245
m_1377,s_463781,68
m_1377,s_533633,138
m_1377,s_54770,300
m_1377,s_57227,181
m_1377,s_57232,92
m_1377,s_575493,140
m_1377,s_60297,66
m_1377,s_611426,280
m_1377,s_61422,79
m_1377,s_61803,153
m_1377,s_708686,115
m_1377,s_72796,508
m_1377,s_787579,42
m_1377,s_790055,56
m_1377,s_930339,459
m_1377,s_947637,245
m_1377,s_97097,165
m_1409,s_1030512,19
m_1409,s_1219089,46
m_1409,s_1219090,95
m_1409,s_1347287,56
m_1409,s_1392131,52
m_1409,s_1426013,161
m_1409,s_143539,871
m_1409,s_146040,55
m_1409,s_1465966,121
m_1409,s_1468123,54
m_1409,s_17475,177
m_1409,s_17968,76
m_1409,s_181488,449
m_1409,s_186761,611
m_1409,s_1877554,136
m_1409,s_1914622,71
m_1409,s_200577,70
m_1409,s_202436,98
m_1409,s_20409,253
m_1409,s_207809,116
m_1409,s_225064,4
m_1409,s_252174,175
m_1409,s_259001,23
m_1409,s_2871718,62
m_1409,s_288430,1226
m_1409,s_2884664,79
m_1409,s_298098,593
m_1409,s_3020558,88
m_1409,s_3025546,10
m_1409,s_3065094,184
m_1409,s_32485,243
m_1409,s_3334136,3
m_1409,s_3480,134
m_1409,s_3525977,92
m_1409,s_354618,162
m_1409,s_35987,27
m_1409,s_3666815,3
m_1409,s_3683331,593
m_1409,s_3699,220
m_1409,s_3704765,45
m_1409,s_374593,43
m_1409,s_3766026,32
m_1409,s_3770035,5
m_1409,s_3842683,217
m_1409,s_3859817,355
m_1409,s_3878839,22
m_1409,s_3894979,165
m_1409,s_3901648,15
m_1409,s_3963602,2
m_1409,s_3991644,172
m_1409,s_3992443,124
m_1409,s_4036264,4
m_1409,s_4045255,24
m_1409,s_404765,376
m_1409,s_4053407,4
m_1409,s_4058005,3
m_1409,s_411087,110
m_1409,s_417396,467
m_1409,s_417478,203
m_1409,s_43374,152
m_1409,s_43525,286
m_1409,s_482927,142
m_1409,s_491119,65
m_1409,s_494139,251
m_1409,s_512736,238
m_1409,s_52283,242
m_1409,s_525479,50
m_1409,s_528742,115
m_1409,s_53891,59
m_1409,s_53909,114
m_1409,s_543988,555
m_1409,s_567970,333
m_1409,s_580441,59
m_1409,s_5917,175
m_1409,s_60170,69
m_1409,s_63015,212
m_1409,s_635816,137
m_1409,s_655906,253
m_1409,s_688994,97
m_1409,s_700747,175
m_1409,s_742119,149
m_1409,s_767658,725
m_1409,s_771873,94
m_1409,s_779658,359
m_1409,s_785669,9
m_1409,s_792040,36
m_1409,s_810403,199
m_1409,s_835344,84
m_1409,s_847392,10
m_1409,s_88028,66
m_1409,s_929819,414
m_1409,s_94543,55
m_1409,s_9554,817
m_1621,s_1002478,58
m_1621,s_1172317,25
m_1621,s_1172480,46
m_1621,s_1173492,8
m_1621,s_1175711,14
m_1621,s_1181443,46
m_1621,s_12304,154
m_1621,s_143259,826
m_1621,s_181046,67
m_1621,s_2119058,55
m_1621,s_2120165,34
m_1621,s_2125444,53
m_1621,s_2136565,14
m_1621,s_2136631,66
m_1621,s_2144849,16
m_1621,s_2147550,1
m_1621,s_2164256,4
m_1621,s_2167136,29
m_1621,s_2257974,82
m_1621,s_250643,667
m_1621,s_2651072,40
m_1621,s_2792612,313
m_1621,s_2874681,61
m_1621,s_2875561,37
m_1621,s_289314,2
m_1621,s_302639,148
m_1621,s_3338797,18
m_1621,s_3351355,60
m_1621,s_3351582,21
m_1621,s_3356003,134
m_1621,s_3359516,105
m_1621,s_3361458,17
m_1621,s_3361934,7
m_1621,s_3552230,9
m_1621,s_3584138,34
m_1621,s_3641464,61
m_1621,s_3660303,53
m_1621,s_3698146,5
m_1621,s_3698465,7
m_1621,s_3703070,2
m_1621,s_3718698,76
m_1621,s_3814796,86
m_1621,s_3815324,4
m_1621,s_3829175,19
m_1621,s_3914539,129
m_1621,s_3963548,734
m_1621,s_4037868,10
m_1621,s_4038013,15
m_1621,s_4052957,19
m_1621,s_44023,398
m_1621,s_4451,156
m_1621,s_44688,550
m_1621,s_46692,49
m_1621,s_484148,46
m_1621,s_484262,21
m_1621,s_484269,15
m_1621,s_484394,57
m_1621,s_484399,58
m_1621,s_484517,68
m_1621,s_484530,44
m_1621,s_484601,135
m_1621,s_484605,24
m_1621,s_484863,6
m_1621,s_484976,5
m_1621,s_485113,9
m_1621,s_485115,58
m_1621,s_485117,24
m_1621,s_485134,79
m_1621,s_485138,76
m_1621,s_485144,177
m_1621,s_485190,56
m_1621,s_485193,22
m_1621,s_485196,49
m_1621,s_485331,64
m_1621,s_485333,25
m_1621,s_485397,21
m_1621,s_485410,80
m_1621,s_485469,154
m_1621,s_485473,148
m_1621,s_485598,116
m_1621,s_486130,31
m_1621,s_486418,89
m_1621,s_49892,72
m_1621,s_54078,387
m_1621,s_60223,103
m_1621,s_62459,173
m_1621,s_664954,20
m_1621,s_665829,15
m_1621,s_665836,14
m_1621,s_666880,45
m_1621,s_666916,127
m_1621,s_667404,3
m_1621,s_667626,42
m_1621,s_667654,17
m_1621,s_674459,44
m_1621,s_675050,22
m_1621,s_675867,23
m_1621,s_676220,111
m_1621,s_676811,16
m_1621,s_676892,55
m_1621,s_682879,13
m_1621,s_683755,187
m_1621,s_71129,196
m_1621,s_77230,225
m_1621,s_7890,507
m_1621,s_87608,111
m_1621,s_88741,244
m_1621,s_97900,306
m_1621,s_996621,3
m_1790,s_1049765,12
m_1790,s_1070878,27
m_1790,s_1076462,276
m_1790,s_1092889,90
m_1790,s_1147383,326
m_1790,s_1163891,59
m_1790,s_11648,387
m_1790,s_1189511,1
m_1790,s_12281,846
m_1790,s_1303295,48
m_1790,s_1375848,82
m_1790,s_1379377,50
m_1790,s_145232,117
m_1790,s_15008,417
m_1790,s_1590674,170
m_1790,s_1780485,138
m_1790,s_257799,156
m_1790,s_2774043,84
m_1790,s_2830069,81
m_1790,s_3349,49
m_1790,s_3389567,236
m_1790,s_351883,774
m_1790,s_3592542,49
m_1790,s_3644060,87
m_1790,s_3688679,171
m_1790,s_3720693,105
m_1790,s_3762222,95
m_1790,s_3785653,1
m_1790,s_3800628,211
m_1790,s_3826939,83
m_1790,s_3832451,56
m_1790,s_3857737,216
m_1790,s_3880592,24
m_1790,s_3881223,44
m_1790,s_3881490,198
m_1790,s_3991670,148
m_1790,s_3991850,108
m_1790,s_3993762,89
m_1790,s_4055245,15
m_1790,s_409191,244
m_1790,s_410981,872
m_1790,s_414315,170
m_1790,s_415657,51
m_1790,s_43317,150
m_1790,s_4337,191
m_1790,s_435723,8
m_1790,s_445176,96
m_1790,s_45066,933
m_1790,s_451175,745
m_1790,s_526458,59
m_1790,s_533545,56
m_1790,s_536573,168
m_1790,s_541939,215
m_1790,s_611860,114
m_1790,s_658315,126
m_1790,s_678622,128
m_1790,s_69609,102
m_1790,s_699302,133
m_1790,s_702819,695
m_1790,s_714580,95
m_1790,s_725534,303
m_1790,s_740606,237
m_1790,s_750380,772
m_1790,s_750836,94
m_1790,s_754040,199
m_1790,s_776240,47
m_1790,s_795024,58
m_1790,s_800485,135
m_1790,s_80163,130
m_1790,s_806797,160
m_1790,s_809884,147
m_1790,s_813251,115
m_1790,s_816691,384
m_1790,s_816811,122
m_1790,s_832771,32
m_1790,s_834299,89
m_1790,s_868771,114
m_1790,s_925592,66
m_1790,s_941851,39
m_1790,s_97629,253
m_1831,s_1039474,15
m_1831,s_12711,182
m_1831,s_1360844,24
m_1831,s_1391269,36
m_1831,s_169814,31
m_1831,s_2080735,73
m_1831,s_2145472,366
m_1831,s_235734,28
m_1831,s_248996,2
m_1831,s_250132,37
m_1831,s_255351,76
m_1831,s_2600200,106
m_1831,s_2699990,1744
m_1831,s_2810515,19
m_1831,s_299734,974
m_1831,s_300541,263
m_1831,s_302999,56
m_1831,s_3084209,99
m_1831,s_313770,128
m_1831,s_3522029,6
m_1831,s_3552701,44
m_1831,s_3553013,116
m_1831,s_359178,76
m_1831,s_3645493,12
m_1831,s_3664,60
m_1831,s_3691922,10
m_1831,s_3717758,13
m_1831,s_3759097,22
m_1831,s_3763946,18
m_1831,s_3771086,48
m_1831,s_3791109,36
m_1831,s_3858703,89
m_1831,s_3876174,47
m_1831,s_3884288,19
m_1831,s_3897943,26
m_1831,s_3903856,21
m_1831,s_391072,111
m_1831,s_3913928,29
m_1831,s_3922743,10
m_1831,s_3924478,11
m_1831,s_3954207,156
m_1831,s_400834,2466
m_1831,s_4023044,4
m_1831,s_417440,127
m_1831,s_425977,13
m_1831,s_426141,170
m_1831,s_442187,24
m_1831,s_455749,23
m_1831,s_458820,18
m_1831,s_487533,21
m_1831,s_5069,42
m_1831,s_520687,320
m_1831,s_536048,117
m_1831,s_55326,1
m_1831,s_580211,44
m_1831,s_594541,2
m_1831,s_66767,457
m_1831,s_668787,1
m_1831,s_752133,38
m_1831,s_809693,152
m_1831,s_828593,45
m_1831,s_82867,1
m_1831,s_8367,496
m_1831,s_851943,55
m_1831,s_855343,20
m_1831,s_98798,8
m_1920,s_1050950,106
m_1920,s_1280481,134
m_1920,s_1383804,178
m_1920,s_1423144,204
m_1920,s_143142,87
m_1920,s_1466760,547
m_1920,s_1629165,81
m_1920,s_165957,30
m_1920,s_1812405,68
m_1920,s_1915784,10
m_1920,s_2028975,53
m_1920,s_2033967,1
m_1920,s_231485,63
m_1920,s_23634,749
m_1920,s_2641302,221
m_1920,s_2786076,93
m_1920,s_2846762,473
m_1920,s_2882952,1
m_1920,s_2910325,143
m_1920,s_3024241,425
m_1920,s_3061540,276
m_1920,s_3345553,22
m_1920,s_3424956,35
m_1920,s_3465636,85
m_1920,s_354060,370
m_1920,s_371773,94
m_1920,s_3778736,479
m_1920,s_3905746,221
m_1920,s_393574,47
m_1920,s_3954198,165
m_1920,s_395598,260
m_1920,s_401150,20
m_1920,s_405969,47
m_1920,s_407031,261
m_1920,s_412203,988
m_1920,s_425145,35
m_1920,s_435660,287
m_1920,s_441986,398
m_1920,s_45209,1
m_1920,s_461394,164
m_1920,s_47371,58
m_1920,s_480171,16
m_1920,s_49092,98
m_1920,s_533180,54
m_1920,s_537266,172
m_1920,s_53979,317
m_1920,s_552494,29
m_1920,s_570119,44
m_1920,s_586869,3
m_1920,s_614139,76
m_1920,s_650872,93
m_1920,s_651519,312
m_1920,s_651531,29
m_1920,s_677532,684
m_1920,s_678149,763
m_1920,s_678169,675
m_1920,s_681798,375
m_1920,s_682870,997
m_1920,s_683867,503
m_1920,s_685145,322
m_1920,s_685368,727
m_1920,s_72674,180
m_1920,s_750150,4
m_1920,s_76434,128
m_1920,s_775983,94
m_1920,s_837160,90
m_1920,s_885729,138
m_1920,s_89874,186
m_1920,s_95866,212
m_1950,s_1037091,35
m_1950,s_1102572,1
m_1950,s_1113752,178
